                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.3117,                0.93368,                0.95106,                0.38519,                0.28198,                0.26563,                0.15071,                 1.4636,                 1.1383,                 1.0836,               0.004786,               0.004786,               0.004786
                     81,                 1.3096,                  0.934,                0.94976,                 0.3748,                0.28795,                0.26635,                0.15106,                  1.462,                 1.1346,                 1.0829,                0.00472,                0.00472,                0.00472
                     82,                 1.3107,                0.93388,                0.94975,                0.38349,                0.28191,                0.26727,                0.15148,                 1.4618,                 1.1304,                 1.0822,               0.004654,               0.004654,               0.004654
                     83,                 1.3055,                0.92834,                0.94726,                0.38295,                0.28459,                0.26632,                0.15164,                 1.4606,                 1.1309,                 1.0816,               0.004588,               0.004588,               0.004588
                     84,                 1.3081,                0.93107,                0.94868,                0.38947,                0.28617,                0.26787,                0.15183,                 1.4594,                  1.127,                 1.0821,               0.004522,               0.004522,               0.004522
                     85,                 1.3077,                0.92808,                0.94792,                0.38539,                 0.2843,                0.26714,                 0.1517,                 1.4564,                 1.1254,                 1.0792,               0.004456,               0.004456,               0.004456
                     86,                 1.3012,                 0.9244,                0.94641,                0.38299,                0.28347,                0.26777,                0.15219,                 1.4553,                 1.1247,                  1.078,                0.00439,                0.00439,                0.00439
                     87,                 1.2999,                0.91815,                0.94585,                0.38834,                0.28216,                0.26851,                0.15266,                 1.4573,                 1.1235,                 1.0782,               0.004324,               0.004324,               0.004324
                     88,                 1.3013,                0.92096,                0.94723,                0.37876,                0.29003,                0.26938,                0.15319,                 1.4575,                 1.1229,                 1.0788,               0.004258,               0.004258,               0.004258
                     89,                 1.3031,                0.91822,                0.94689,                0.38636,                0.28785,                0.26907,                0.15277,                 1.4589,                 1.1239,                  1.079,               0.004192,               0.004192,               0.004192
                     90,                 1.2988,                 0.9157,                0.94419,                0.37772,                 0.2893,                0.26859,                0.15254,                 1.4579,                  1.125,                 1.0795,               0.004126,               0.004126,               0.004126
                     91,                 1.2988,                0.91198,                0.94572,                0.38301,                0.28498,                0.26841,                0.15288,                 1.4552,                 1.1228,                 1.0779,                0.00406,                0.00406,                0.00406
                     92,                 1.2921,                0.90889,                0.94459,                 0.3873,                0.28706,                0.26852,                  0.153,                 1.4542,                  1.121,                 1.0763,               0.003994,               0.003994,               0.003994
                     93,                 1.2965,                0.91052,                 0.9446,                0.38198,                0.28673,                 0.2691,                0.15341,                  1.454,                 1.1212,                  1.076,               0.003928,               0.003928,               0.003928
                     94,                  1.293,                0.90675,                0.94313,                0.38714,                0.28533,                0.26892,                0.15316,                 1.4552,                  1.122,                 1.0762,               0.003862,               0.003862,               0.003862
                     95,                 1.2906,                0.90803,                0.94425,                0.38072,                0.28673,                0.26968,                 0.1533,                 1.4549,                 1.1202,                 1.0759,               0.003796,               0.003796,               0.003796
                     96,                   1.29,                0.90481,                0.94454,                0.37475,                0.29066,                0.27069,                0.15382,                 1.4516,                 1.1179,                 1.0739,                0.00373,                0.00373,                0.00373
                     97,                 1.2835,                0.89954,                 0.9424,                0.37502,                0.29051,                0.27026,                0.15407,                  1.453,                 1.1167,                  1.075,               0.003664,               0.003664,               0.003664
                     98,                 1.2885,                0.90173,                0.94357,                0.37492,                0.29204,                0.27084,                0.15426,                 1.4536,                  1.116,                 1.0752,               0.003598,               0.003598,               0.003598
                     99,                 1.2801,                0.89718,                0.94031,                0.37677,                0.29041,                0.27029,                0.15401,                 1.4536,                 1.1146,                 1.0747,               0.003532,               0.003532,               0.003532
                    100,                 1.2916,                0.90169,                0.94318,                0.37678,                0.29015,                0.27035,                0.15398,                 1.4532,                 1.1157,                 1.0743,               0.003466,               0.003466,               0.003466
                    101,                 1.2887,                0.89928,                0.94174,                0.37786,                0.28935,                0.27064,                0.15412,                  1.453,                 1.1149,                 1.0734,                 0.0034,                 0.0034,                 0.0034
                    102,                 1.2781,                0.89229,                 0.9408,                0.38123,                0.28717,                0.27058,                0.15444,                 1.4512,                 1.1128,                 1.0726,               0.003334,               0.003334,               0.003334
                    103,                 1.2799,                0.88995,                0.93912,                0.37639,                0.28986,                0.27057,                0.15448,                 1.4495,                 1.1121,                 1.0716,               0.003268,               0.003268,               0.003268
                    104,                 1.2821,                0.88733,                0.94054,                0.37995,                0.28861,                0.27084,                0.15464,                 1.4485,                 1.1096,                 1.0718,               0.003202,               0.003202,               0.003202
                    105,                 1.2734,                0.88841,                0.93847,                0.37908,                0.28944,                0.27117,                0.15494,                 1.4483,                 1.1087,                 1.0711,               0.003136,               0.003136,               0.003136
                    106,                 1.2758,                0.88743,                0.93759,                0.38112,                0.28766,                0.27081,                0.15452,                 1.4494,                 1.1092,                 1.0713,                0.00307,                0.00307,                0.00307
                    107,                 1.2717,                0.88431,                0.93768,                0.38088,                0.28929,                0.27088,                0.15464,                 1.4498,                 1.1096,                 1.0718,               0.003004,               0.003004,               0.003004
                    108,                  1.276,                0.88529,                0.93734,                0.38473,                0.28789,                0.27078,                 0.1545,                  1.449,                  1.109,                 1.0719,               0.002938,               0.002938,               0.002938
                    109,                 1.2729,                0.88008,                0.93692,                0.38173,                0.29001,                0.27102,                0.15476,                 1.4481,                 1.1094,                 1.0718,               0.002872,               0.002872,               0.002872
                    110,                 1.2671,                0.87774,                0.93646,                0.38312,                0.28969,                0.27155,                0.15474,                  1.448,                 1.1097,                 1.0718,               0.002806,               0.002806,               0.002806
                    111,                 1.2692,                0.87808,                0.93805,                0.37944,                0.29153,                0.27169,                0.15485,                 1.4463,                 1.1092,                 1.0711,                0.00274,                0.00274,                0.00274
                    112,                 1.2648,                0.87167,                0.93558,                0.38049,                  0.291,                0.27189,                0.15497,                 1.4469,                 1.1092,                 1.0712,               0.002674,               0.002674,               0.002674
                    113,                  1.264,                0.86815,                0.93513,                0.38252,                0.28925,                0.27193,                 0.1549,                 1.4465,                 1.1093,                  1.071,               0.002608,               0.002608,               0.002608
                    114,                 1.2627,                  0.872,                0.93571,                0.38384,                0.28816,                 0.2716,                0.15469,                 1.4464,                 1.1099,                 1.0709,               0.002542,               0.002542,               0.002542
                    115,                 1.2593,                0.87057,                0.93518,                0.38162,                0.28872,                 0.2717,                0.15475,                 1.4464,                 1.1107,                 1.0707,               0.002476,               0.002476,               0.002476
                    116,                 1.2638,                0.87088,                0.93354,                0.38257,                0.28864,                0.27158,                0.15455,                 1.4452,                 1.1108,                 1.0703,                0.00241,                0.00241,                0.00241
